BUDGET FISCAL YEAR,FTYP,FUNDTYPE,APPR,APPROPRIATION,Service Number,SERVICE,OBJECTGROUP,EXPENDITURE CLASSIFICATION,CURRENT BUDGET,ENCUMBRANCE,EXPENSES,ENCUMB&EXPENSE
2017,GNFD,General Fund,0001CCS,Code Compliance GF,3.17,Neighborhood Code Compliance Services,RE,Reimbursements,-1215858,0,-308549.59,-308549.59
2017,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,5.53,Vital Statistics,PS,Personnel Services,628700,0,268210.31,268210.31
2017,GNFD,General Fund,0001MCC,Mayor and City Council GF,5.03,Administrative Support for the Mayor and City Council,QV,Contractual & Other Services,630285,7603.35,176261.14,183864.49
2017,INSV,Internal Service Fund,0196EBS,Equipment Services EBS,5.F,City Fleet Paint and Body Shop Coordination,QV,Contractual & Other Services,1117957,244482.44,956923.97,1201406.41
2017,GNFD,General Fund,0001BMS,Office of Financial Services GF,5.36,Grant Administration,QM,Supplies & Materials,7202,3159.66,6986.97,10146.63
2017,EFOP,Enterprise Operating Fund,0440SAN,Sanitation Operating Fund,3.03,Animal Remains Collection,PS,Personnel Services,464895,0,228499.15,228499.15
2017,GNFD,General Fund,0001DPD,Police Department GF,1.23,Police Criminal Investigations,QM,Supplies & Materials,522269,26834.8,232404.3,259239.1
2016,GNFD,General Fund,0001CCS,Code Compliance GF,3.1,Consumer Health,QV,Contractual & Other Services,2555616,2000000,615491.07,2615491.07
2017,GNFD,General Fund,0001BMS,Office of Financial Services GF,5.19,Citywide Capital and Operating Budget Dev and Monitoring,PS,Personnel Services,891464,0,314825.2,314825.2
2016,GNFD,General Fund,0001CRO,Mgmt Services - Resiliency Office,2.37,Resiliency Office,QV,Contractual & Other Services,0,0,272.56,272.56
2017,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,3.25,Wastewater Treatment,PS,Personnel Services,18560609,683.11,8959404.97,8960088.08
2017,GNFD,General Fund,0001STS,Street Services GF,2.39,Service Maintenance Areas,PS,Personnel Services,11230497,0,4850602.98,4850602.98
2017,EFOP,Enterprise Operating Fund,0440SAN,Sanitation Operating Fund,3.05,City Facility Services,PS,Personnel Services,92886,0,46200.18,46200.18
2017,GNFD,General Fund,0001CCO,City Controller's Office GF,5.47,Payroll,QM,Supplies & Materials,4575,0,2527.47,2527.47
2016,GNFD,General Fund,0001CCS,Code Compliance GF,3.1,Consumer Health,RC,Capital Outlay,0,0,13190,13190
2016,EFOP,Enterprise Operating Fund,0080CCT,Convention Center CCT,2.5,Union Station,QV,Contractual & Other Services,486364,0,431191.58,431191.58
2017,GNFD,General Fund,0001STS,Street Services GF,2.44,Street Repair Division - Concrete,RE,Reimbursements,-1975063,0,0,0
2016,EFOP,Enterprise Operating Fund,0440SAN,Sanitation Operating Fund,3.04,Brush/Bulk Waste Removal Services,PS,Personnel Services,7046835,0,7941343.26,7941343.26
2017,GNFD,General Fund,0001PNV,Planning and Urban Design GF,9.99,Department Support,RE,Reimbursements,-707829,0,0,0
2016,GNFD,General Fund,0001DFD,Dallas Fire Rescue GF,1.1399999999999999,Inspection and Life Safety Education,PS,Personnel Services,8313679,0,8208987.62,8208987.62
2017,GNFD,General Fund,0001DEV,Sustainable Dev and Construction GF,2.02,Authorized Hearings,QM,Supplies & Materials,10351,0,579.70000000000005,579.70000000000005
2016,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,5.26,DWU General Expense,QV,Contractual & Other Services,67244537,76220.67,63060594.36,63136815.03
2017,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,9.99,Department Support,QV,Contractual & Other Services,1073853,11354.31,161520.03,172874.34
2017,GNFD,General Fund,0001PNV,Planning and Urban Design GF,9.99,Department Support,QM,Supplies & Materials,18105,5309,2863.06,8172.06
2017,GNFD,General Fund,0001MCC,Mayor and City Council GF,5.03,Administrative Support for the Mayor and City Council,PS,Personnel Services,3742861,0,1967299.67,1967299.67
2017,GNFD,General Fund,0001EBS,Building Services GF,9.99,Department Support,QM,Supplies & Materials,800,0,21.47,21.47
2017,GNFD,General Fund,0001MCC,Mayor and City Council GF,5.03,Administrative Support for the Mayor and City Council,QM,Supplies & Materials,92244,5785.61,30390.53,36176.14
2016,EFOP,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,9.99,Department Support,RE,Reimbursements,-360880,0,-147702,-147702
2017,GNFD,General Fund,0001STS,Street Services GF,5.43,Land Surveying Services,QV,Contractual & Other Services,75945,3643.06,17989.38,21632.44
2017,GNFD,General Fund,0001SEC,City Secretary's Office GF,5.23,Customer Service,QM,Supplies & Materials,2181,168.32,77.930000000000007,246.25
2017,GNFD,General Fund,0001PKR,Park and Recreation GF,9.99,Department Support,PS,Personnel Services,2780538,0,1657797.51,1657797.51
2017,GNFD,General Fund,0001CCO,City Controller's Office GF,5.47,Payroll,PS,Personnel Services,560605,0,203069.08,203069.08
2017,INSV,Internal Service Fund,0198DSV,Information Technology DSV,5.18,City GIS Services,QV,Contractual & Other Services,134489,991.16,74593.66,75584.82
2017,GNFD,General Fund,0001PER,Human Resources GF,9.99,Department Support,PS,Personnel Services,459243,0,217296.64,217296.64
2017,GNFD,General Fund,0001HOU,Housing GF,2.2400000000000002,Home Ownership/Development,PS,Personnel Services,1942703,0,930741.73,930741.73
2017,GNFD,General Fund,0001ECO,Economic Development GF,2.13,Economic Development Major Projects & Other Programs,PS,Personnel Services,402888,0,130497.15,130497.15
2017,GNFD,General Fund,0001CVS,Civil Service GF,5.0599999999999996,Applicant Processing - Uniform,PS,Personnel Services,631056,0,242780.92,242780.92
2017,EFOP,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,9.99,Department Support,PS,Personnel Services,371449,0,128333.84,128333.84
2017,INSV,Internal Service Fund,0198DSV,Information Technology DSV,5.O,Public Safety Technology Support,QV,Contractual & Other Services,4305696,1671993.64,1138694.29,2810687.93
2017,GNFD,General Fund,0001ATT,City Attorney's Office GF,1.19,Municipal Prosecution,PS,Personnel Services,1735468,0,826210.75,826210.75
2017,INSV,Internal Service Fund,0198DSV,Information Technology DSV,5.L,Internal Desktop Support,QV,Contractual & Other Services,5973614,1346736.9,4027759.81,5374496.71
2017,GNFD,General Fund,0001PKR,Park and Recreation GF,4.09,Park Land Maintained,QM,Supplies & Materials,5755187,403334.01,2620469.49,3023803.5
2017,INSV,Internal Service Fund,0198DSV,Information Technology DSV,5.N,Internal Telephone and Data Communication,QV,Contractual & Other Services,11762013,8199147.96,2757128.65,10956276.61
2017,GNFD,General Fund,0001DFD,Dallas Fire Rescue GF,1.1399999999999999,Inspection and Life Safety Education,QV,Contractual & Other Services,229284,1411.48,78993.41,80404.89
2017,GNFD,General Fund,0001STS,Street Services GF,2.4700000000000002,Traffic Operations Maintenance,QV,Contractual & Other Services,1573164,940658.1,735145.89,1675803.99
2016,GNFD,General Fund,0001DPD,Police Department GF,1.27,Police Investigations of Narcotics Related Crimes,QV,Contractual & Other Services,665087,0,497746.84,497746.84
2016,INSV,Internal Service Fund,0198DSV,Information Technology DSV,5.K,Internal Computer Support,QV,Contractual & Other Services,2139445,39964.06,2377416.97,2417381.03
2017,GNFD,General Fund,0001PKR,Park and Recreation GF,2.2999999999999998,Operation & Maintenance of Fair Park,PS,Personnel Services,711846,0,1636062.59,1636062.59
2016,GNFD,General Fund,0001DPD,Police Department GF,1.31,Police Special Operations,QV,Contractual & Other Services,4773188,298609,5216260.69,5514869.69
2017,GNFD,General Fund,0001DFD,Dallas Fire Rescue GF,1.08,"EMS Administration, Contracts, and Community Health",QV,Contractual & Other Services,4538019,561215.08,1208848.8,1770063.88
2017,GNFD,General Fund,0001EBS,Building Services GF,3.11,Custodial Maintenance,RE,Reimbursements,-102829,0,-61302.1,-61302.1
2017,GNFD,General Fund,0001STS,Street Services GF,2.4300000000000002,Street Repair Division - Asphalt,QM,Supplies & Materials,3491148,938959.44,1769368.49,2708327.93
2017,INSV,Internal Service Fund,0198DSV,Information Technology DSV,5.Q,Strategic Technology Management,QM,Supplies & Materials,446300,3288.37,5740.02,9028.39
2017,GNFD,General Fund,0001PKR,Park and Recreation GF,4.0999999999999996,"Planning, Design, Construction & EMS and Environ Compliance",QV,Contractual & Other Services,241554,0,34351.7,34351.7
2016,INSV,Internal Service Fund,0196EBS,Equipment Services EBS,9.99,Department Support,QV,Contractual & Other Services,54571,24082.04,248486.76,272568.8
2016,GNFD,General Fund,0001DPD,Police Department GF,1.29,Police Operational Support,QV,Contractual & Other Services,3261084,50.7,1183692.56,1183743.26
2017,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,5.55,Water Utilities Customer Account Services,QV,Contractual & Other Services,6565542,402790.23,2036900.52,2439690.75
2017,GNFD,General Fund,0001PKR,Park and Recreation GF,4.04,Golf and Tennis Centers,QV,Contractual & Other Services,925935,21478.74,207746.64,229225.38
2017,GNFD,General Fund,0001POM,Business Development & Procurement GF,2.5099999999999998,Vendor Development,PS,Personnel Services,203031,0,70549.38,70549.38
2017,GNFD,General Fund,0001ECO,Economic Development GF,2.14,Economic Development Research and Information Services,PS,Personnel Services,444486,0,219790.69,219790.69
2017,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,5.54,"Water Planning, Financial and Rate Services",QV,Contractual & Other Services,1512923,60248.86,127561.99,187810.85
2016,GNFD,General Fund,0001CCS,Code Compliance GF,3.18,Neighborhood Nuisance Abatement,QV,Contractual & Other Services,1598402,10099.79,1445621.14,1455720.93
2017,GNFD,General Fund,0001CPE,Mgmt Services - Strategic Initiatives,5.13,Center for Performance Excellence,QM,Supplies & Materials,112466,522.4,4425.02,4947.42
2017,GNFD,General Fund,0001OCA,Office of Cultural Affairs GF,4.03,Cultural Services Contracts,QV,Contractual & Other Services,6237326,2682416.37,3253082.42,5935498.79
2017,GNFD,General Fund,0001ECO,Economic Development GF,2.04,Business Development,QM,Supplies & Materials,15119,65.89,293.70999999999998,359.6
2017,GNFD,General Fund,0001ATT,City Attorney's Office GF,1.19,Municipal Prosecution,QM,Supplies & Materials,13700,32.75,15289.23,15321.98
2017,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,3.25,Wastewater Treatment,QM,Supplies & Materials,14800438,4969758.88,4201690.97,9171449.85
2017,GNFD,General Fund,0001STL,Street Lighting,2.42,Street Lighting,PS,Personnel Services,300892,0,120478.35,120478.35
2017,GNFD,General Fund,0001ATT,City Attorney's Office GF,9.99,Department Support,QM,Supplies & Materials,25599,24,5735.36,5759.36
2017,GNFD,General Fund,0001PKR,Park and Recreation GF,4.09,Park Land Maintained,QV,Contractual & Other Services,8975830,175277.02,4006506.45,4181783.47
2017,INSV,Internal Service Fund,0199POM,Express Business Center POM,5.B,Business Services,RE,Reimbursements,-1200000,0,-670114.72,-670114.72
2016,GNFD,General Fund,0001STS,Street Services GF,2.4700000000000002,Traffic Operations Maintenance,QV,Contractual & Other Services,2206258,71263.51,1956361.61,2027625.12
2017,EFOP,Enterprise Operating Fund,0130AVI,Airport Operations AVI,2.21,Aviation Facilities - Dallas Executive Airport & Vertiport,QM,Supplies & Materials,977031,4499.59,74311.79,78811.38
2016,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,3.25,Wastewater Treatment,QM,Supplies & Materials,17943819,619929.37,17056858.04,17676787.41
2017,EFOP,Enterprise Operating Fund,0100DWU,Water Utilities DWU,9.99,Department Support,PS,Personnel Services,2887024,764.02,1357763.16,1358527.18
2017,GNFD,General Fund,0001STS,Street Services GF,2.31,Pavement Management,QM,Supplies & Materials,4150,266.89,3159.92,3426.81
2017,GNFD,General Fund,0001ELE,Elections,5.27,Elections,PS,Personnel Services,91463,0,44179.8,44179.8
2017,GNFD,General Fund,0001CTS,Court and Detention Services GF,1.06,Dallas City Marshal,PS,Personnel Services,2572337,0,1254902.76,1254902.76
2017,GNFD,General Fund,0001DFD,Dallas Fire Rescue GF,1.08,"EMS Administration, Contracts, and Community Health",PS,Personnel Services,11619092,0,4993819.98,4993819.98
2016,GNFD,General Fund,0001CCO,City Controller's Office GF,5.47,Payroll,PS,Personnel Services,478727,3368.83,552009.49,555378.32
2017,GNFD,General Fund,0001BMS,Office of Financial Services GF,5.36,Grant Administration,PS,Personnel Services,1178228,0,530738.4,530738.4
2017,GNFD,General Fund,0001SEC,City Secretary's Office GF,5.16,City Council Support,QM,Supplies & Materials,6449,1844.25,2678.26,4522.51
2017,GNFD,General Fund,0001STL,Street Lighting,2.42,Street Lighting,QM,Supplies & Materials,15348208,326538.24,8593335.68,8919873.92
2017,GNFD,General Fund,0001CTS,Court and Detention Services GF,1.02,City Detention Center,QM,Supplies & Materials,38647,16537.72,14165.27,30702.99
2017,GNFD,General Fund,0001PKR,Park and Recreation GF,4.04,Golf and Tennis Centers,QM,Supplies & Materials,1298833,69183.28,568967.35,638150.63
2017,GNFD,General Fund,0001DPD,Police Department GF,1.21,Police Administrative Support,PS,Personnel Services,6942791,0,3174002.57,3174002.57
2017,GNFD,General Fund,0001PIO,Mgmt Services - Public Information Office,5.48,Public Information Office / Communications & Broadcasting,QV,Contractual & Other Services,175619,480.26,52696.82,53177.08
2017,GNFD,General Fund,0001BMS,Office of Financial Services GF,5.52,Utility Management,QV,Contractual & Other Services,207661,0,43885.03,43885.03
2017,OTHO,Other Operating Fund,0195ORM,Office of Risk Management,5.P,Risk Management Services,QV,Contractual & Other Services,276712,22778.56,133952.65,156731.21
2017,GNFD,General Fund,0001ATT,City Attorney's Office GF,3.06,Code Litigation,PS,Personnel Services,918783,0,301116.37,301116.37
2017,GNFD,General Fund,0001SEC,City Secretary's Office GF,5.23,Customer Service,QV,Contractual & Other Services,34366,0,1173.6,1173.6
2017,GNFD,General Fund,0001CCS,Code Compliance GF,3.18,Neighborhood Nuisance Abatement,QM,Supplies & Materials,278621,23433.16,139923.25,163356.41
2017,GNFD,General Fund,0001STS,Street Services GF,2.44,Street Repair Division - Concrete,TR,Transfers Out,11700890,0,6825519.15,6825519.15
2017,GNFD,General Fund,0001PKR,Park and Recreation GF,4.12,Recreation Services,RE,Reimbursements,-825000,0,-35930.01,-35930.01
2017,GNFD,General Fund,0001OEQ,Mgmt Services - Environmental Quaity,3.14,Environmental Quality,QM,Supplies & Materials,71667,0,13127.7,13127.7
2017,INSV,Internal Service Fund,0196EBS,Equipment Services EBS,5.E,City Fleet Maintenance and Repair Services,PS,Personnel Services,12983543,0,5877514.1,5877514.1
2016,GNFD,General Fund,0001DEV,Sustainable Dev and Construction GF,2.35,Real Estate and Relocation,QV,Contractual & Other Services,153511,0,207605.3,207605.3
2017,GNFD,General Fund,0001DEV,Sustainable Dev and Construction GF,2.35,Real Estate and Relocation,RE,Reimbursements,-2163874,0,-565883.83,-565883.83
2016,GNFD,General Fund,0001CCS,Code Compliance GF,3.12,Dallas Animal Services,QV,Contractual & Other Services,2040349,0,2952721.84,2952721.84
2017,EFOP,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,2.34,Private Development Survey,QV,Contractual & Other Services,98566,0,2610.79,2610.79
2017,GNFD,General Fund,0001HOU,Housing GF,3.09,Comprehensive Homeless Outreach,QV,Contractual & Other Services,6230301,2581333.96,2838420.61,5419754.57
2017,EFOP,Enterprise Operating Fund,0130AVI,Airport Operations AVI,2.12,Dallas Love Field,PS,Personnel Services,15260267,0,6913899.13,6913899.13
2017,EFOP,Enterprise Operating Fund,0130AVI,Airport Operations AVI,2.21,Aviation Facilities - Dallas Executive Airport & Vertiport,QV,Contractual & Other Services,3486220,80332.05,671432.6,751764.65
2017,GNFD,General Fund,0001DPD,Police Department GF,1.2,Police Academy and In-service Training,QV,Contractual & Other Services,1532072,731720.37,795793.93,1527514.3
2017,EFOP,Enterprise Operating Fund,0440SAN,Sanitation Operating Fund,3.05,City Facility Services,QM,Supplies & Materials,5625,0,6050.61,6050.61
2016,GNFD,General Fund,0001TWM,Trinity Watershed Management GF,2.4900000000000002,Trinity River Corridor Operations,QM,Supplies & Materials,30150,4295.44,67788.85,72084.29
2017,GNFD,General Fund,0001DFD,Dallas Fire Rescue GF,2.1800000000000002,Fire Inspection for New Construction,QM,Supplies & Materials,20363,0,5584.69,5584.69
2017,GNFD,General Fund,0001AUD,City Auditor's Office GF,5.08,"Audits, Attestations and Investigations",QV,Contractual & Other Services,216761,2846.09,70324.16,73170.25
2017,GNFD,General Fund,0001STS,Street Services GF,2.0499999999999998,Capital and Implementation Program,QM,Supplies & Materials,35573,4774.4,36196.55,40970.95
2016,GNFD,General Fund,0001OCA,Office of Cultural Affairs GF,9.99,Department Support,QV,Contractual & Other Services,337757,0,7091.84,7091.84
2017,OTHO,Other Operating Fund,0278PER,Employee Benefits Administration,5.J,HR Benefits Administration Services,QM,Supplies & Materials,15685,675,9029.05,9704.05
2016,GNFD,General Fund,0001CCO,City Controller's Office GF,5.0199999999999996,Accounts Payable,QV,Contractual & Other Services,102720,0,38762.69,38762.69
